Date,Global_Factor_filtered,Facilitating_filtered,Other_filtered,Restrictive_filtered,Remaining_others_filtered,G20_filtered,Non_G20_filtered,GDP_weighted_filtered
Apr 2015,0.23071112152971,0.0907765264699292,0.319378231905112,0.0411279332723383,0.166378554755815,-0.149189712802471,0.166920366780226,-0.335693772408843
May 2015,0.443333843323858,0.513508785958897,0.285750048942932,0.0245198792001275,0.392701454878329,0.408810475773902,0.152325272820078,-0.028831211483498
Jun 2015,0.533147903001672,0.784835140068054,0.212614704474753,0.077712675854879,0.423134548344578,0.626692988165184,0.357489006570136,0.280064187646639
Jul 2015,0.608453556270008,0.773087836972507,0.410548398788244,0.182792302616794,0.542470746898186,0.616786576278455,0.653701556104599,0.0645260385687814
Aug 2015,0.737034000265421,0.854113183900923,0.575874338536017,0.141489775305847,0.644701139374881,0.601411240964554,0.919397702326208,0.329527421040484
Sep 2015,1.08375008168577,0.949382867731209,1.00500282939482,0.250812251741855,0.879344158838833,0.843989098109646,1.01504167823893,0.522570194492243
Oct 2015,1.09671722833066,0.879147507458636,1.09261592977662,0.208546718679383,0.931895332139074,0.775360478733885,0.735923493855518,0.777448787926225
Nov 2015,0.767759034589956,0.434083750101399,1.14825894907658,0.140629688260112,0.90142863999223,0.548319577634612,0.676758660932222,0.576908616620403
Dec 2015,0.314855629485632,0.134525332540003,0.720664201003762,-0.406005790531713,0.664010410222106,0.201090930169082,0.559555419971203,0.40227355966811
Jan 2016,-0.0976434264887578,0.0579051972280246,0.114954939993173,-0.726200444474125,0.185342814079666,0.0953113434297471,0.46449531267895,0.26440228078428
Feb 2016,0.084611512204272,0.269174750433217,-0.057720962530983,-0.790039481271756,0.0146616296525994,0.301485084173841,0.320080545375476,0.664684894138184
Mar 2016,0.148949720022747,0.256925222562628,-0.0487125043976893,-0.473400749669863,-0.0363615873744703,0.196861352582065,0.43632439257879,0.698665624467055
Apr 2016,0.251084517219009,0.0831626347017996,0.188767911011621,-0.32523252663584,0.263923176183418,0.0749571819577367,0.710329468202624,0.450439599924077
May 2016,0.218548903750679,-0.0785864622654788,0.15825779861785,-0.567384466669462,0.392902281176293,-0.0222483677031716,0.838803471022007,0.257781677318684
Jun 2016,-0.0767875457384264,-0.341303010301073,-0.0232251389310501,-0.88300241580035,0.442861218831109,-0.147383569321069,0.610711518308903,-0.0149040666504077
Jul 2016,0.0043350044100997,-0.492826927443818,0.147178135828209,-1.06741396676838,0.550467626851697,-0.011831452773038,0.365646274353062,-0.035640962928818
Aug 2016,-0.0346830466087592,-0.491650749173686,0.0511391410312173,-1.149735066,0.519901806280673,0.0305736478507195,0.0169567817474455,-0.234710824223819
Sep 2016,-0.0524152480684374,-0.595907536006168,0.0801201107764638,-1.16892746657405,0.380989133874393,0.209937253256872,-0.473212180828831,-0.0096660772723812
Oct 2016,-0.627590477307762,-0.857877597111856,-0.498404407545404,-1.20914705091001,-0.248375553707525,-0.276484266953055,-0.867698348116268,0.170678909088084
Nov 2016,-1.07118313673265,-1.11497827179306,-0.928501882354585,-1.21366756324371,-0.736640416041742,-0.624443264587065,-1.1523598009829,0.0424209993108686
Dec 2016,-1.25236591595049,-1.1091044615107,-1.27633779294645,-1.30072289012875,-1.15433341627809,-0.909856703804672,-1.0170401063399,-0.448331615160569
Jan 2017,-1.37385502919261,-1.02656303000297,-1.48578098207971,-1.44663658357281,-1.31518775323176,-0.942864221259529,-1.05108663719739,-1.19974014481154
Feb 2017,-1.48256250904991,-1.00001570618411,-1.62662152103553,-1.67454313363322,-1.48562543188092,-1.09564768233915,-1.09881128438064,-1.46753773656514
Mar 2017,-1.68178585663237,-0.986393321925515,-1.88348586967923,-2.09104578108589,-1.5419284203563,-1.24727213506135,-1.4282346199649,-1.35025987026924
Apr 2017,-1.81907831286755,-0.896460100204861,-2.17423459464552,-2.53472947065307,-1.65121546964147,-1.46173040135008,-1.49530678942497,-1.06869263185001
May 2017,-1.75105930417527,-0.770201573059555,-2.18694160542796,-2.78793293568709,-1.6519157101508,-1.50315947022456,-1.24011254552036,-1.01821255650495
Jun 2017,-1.79877535966009,-0.761715718861546,-2.24544773324988,-2.87354032405208,-1.77240534925587,-1.54008138336414,-1.31895280049428,-0.913815604438698
Jul 2017,-1.8001286979162,-0.745567818620632,-2.24196619345693,-2.52331024232459,-2.13013113790771,-1.37864557422405,-1.85570670376981,-0.714373413957263
